URL	Pret	Model Procesor:	Chipset video:	CPUMark	GPUMark	Capacitate HDD:	Tip unitate stocare:	Memorie standard:	Diagonala LCD	Rezolutie optima:	Greutate (Kg):	Sistem de operare:
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-b50_70-i3_4005u-1tb_5400rpm-4gb-dvdrw-hd-fingerprint-l/	1499	intel core i3 4005u 	intel hd  4400	2462	547	1000	hdd	4	15.6	1366 x 768	2.32 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e3550-i5_5200u-1tb-8gb-gt830m-2gb-win8-pro-fullhd-l/	4229	intel core i5 5200u 	gt830m	3522	-	1000	hdd	8	15.6	1920 x 1080	2.2 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-e5_571g_381v-i3_4005u-1tb-4gb-gt840m-2gb-blue-cobalt-l/	1699	intel core i3 4005u 	gt820m	2462	-	1000	hdd	4	15.6	1366 x 768	2.5 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i3_5005u-1tb-4gb-dvd_rw-win8-3-ani-garantie-l/	2199	intel core i3 5005u 	intel hd  5500	2910	560	1000	hdd	4	15.6	1366 x 768	2 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-e5_571g_375h-i3_4005u-1tb-4gb-gt840m-2gb-dvdrw-l/	1699	intel core i3 4005u 	gt840m	2462	-	1000	hdd	4	15.6	1366 x 768	2.5 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-p50_c_18d-i7_6700hq-1tbplus128gb-12gb-gtx950m-4gb-fullhd-l/	4699	intel core i7 6700hq	gtx 950m	7999	1400	128	hdd	12	15.6	1920 x 1080	2.4	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-430-g3-i5_6200u-500gb_7200rpm-4gb-win10pro-hd-fingerprint-l/	2699	intel core i5 6200u	intel hd  520	3898	788	500	hdd	4	13.3	1366 x 768	1,5	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3450-i3_4005u-500gb_7200rpm-4gb-win7-pro-3-ani-garantie-l/	2849	intel core i3 4005u 	intel hd  4400	2462	547	500	hdd	4	14	1366 x 768	1.9 kg	windows 7 pro
http://www.cel.ro/laptop-laptopuri/laptop-hp-250-g4-i3_4005u-1tb-4gb-dvdrw-hdmi-l/	1499	intel core i3 4005u 	intel hd  4400	2462	547	1000	hdd	4	15.6	1366 x 768	2.1 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3550-i3_5005u-500gb_7200rpm-4gb-win7-pro-l/	2999	intel core i3 5005u 	intel hd  5500	2910	560	500	hdd	4	15.6	1366 x 768	2.2 kg	windows 7 pro
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-qosmio-x70_b_113-i7_4720hq-1tbplus8gb-12gb-r9-m365x-4gb-win10-fhd-l/	5349	intel core i7 4720hq 	r9 m365x	8112	-	1000	ssh	12	17.3	1920 x 1080	2.9 kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-7359-i7_6500u-256gb-8gb-win10-fullhd-touch-l/	5099	intel core i7 6500u	intel hd  520	4336	788	256	ssd	8	13.3	1920 x 1080	1.66	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e3550-i3_4005u-500gb_7200rpm-4gb-3ani-garantie-l/	2419	intel core i3 4005u 	intel hd  4400	2462	547	500	hdd	4	15.6	1366 x 768		linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-probook-430-g3-i3_6100u-128gb-4gb-win10pro-hd-fingerprint-l/	2699	intel core i3 6100u	intel hd  520	3505	788	128	ssd	4	13.3	1366 x 768	1,5	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-f5_572g_57cw-i5_6200u-1tb_5400rpm-4gb-gt920m-2gb-dvdrw-l/	2629	intel core i5 6200u	920m	3898	667	1000	hdd	4	15.6	1920 x 1080	2.4kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-toshiba-satellite-l50_b_2cr-i3_4005u-500gb_5400rpm-4gb-r5_m230-1gb-l/	1849	intel core i3 4005u 	r5 m230	2462	443	500	hdd	4	15.6	1366 x 768	2.2 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-b70_80-i7_5500u-1tbplus8gb-8gb-gt920m-2gb-l/	2899	intel core i7 5500u 	gt920m	4029	-	1000	ssh	8	17.3	1600 x 900	2.9 kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-e5_574g_77kt-i7_6500u-1tb_5400rpm-4gb-940m-4gb-dvdrw-l/				-	-							
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-3450-i3_4005u-500gb_7200rpm-4gb-3-ani-garantie-l/	2399	intel core i3 4005u 	intel hd  4400	2462	547	500	hdd	4	14	1366 x 768	1.9 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-asus-x751lb_ty151d-i7_5500u-2tb-8gb-gt940m-2gb-hdplus-dvd_rw-l/	3499	intel core i7 5500u 	gt940m	4029	-	2000	hdd	8	17.3	1600 x 900	2.8 kg	fara sistem
